orientation;acceleration_x;acceleration_y;acceleration_z;touch_count;first_touch_finger_id;first_touch_delta_time;first_touch_tap_count;first_touch_phase;first_touch_position_x;first_touch_position_y;second_touch_finger_id;second_touch_delta_time;second_touch_tap_count;second_touch_phase;second_touch_position_x;second_touch_position_y;current_game_state;game_event;;;;;
FaceUp;0.109375;-0.25;-0.890625;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.08007812;-0.2421875;-0.986328;1;0;0.03333334;1;Stationary;368.4014;89.44958;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.0625;-0.2089844;-0.9355468;2;0;0.03333334;1;Moved;377.7426;86.11459;1;0.03333334;1;Moved;250.6363;63.56281;GS_ISLAND;;;;;;
FaceUp;0.04296875;-0.2246094;-0.9941406;2;0;0.03333334;1;Moved;401.7184;83.3125;1;0.03333334;1;Moved;225.8031;76.33903;GS_ISLAND;;;;;;
FaceUp;0.03320312;-0.1816406;-0.986328;2;0;0.03333334;1;Moved;444.8163;81.60624;1;0.03333334;1;Moved;192.4079;82.86547;GS_ISLAND;;;;;;
FaceUp;0.01953125;-0.1796875;-0.9472656;2;0;0.03333334;1;Moved;472.3932;82.45094;1;0.03333334;1;Moved;167.8696;84.07493;GS_ISLAND;;;;;;
FaceUp;0.04492188;-0.1894531;-0.9707031;2;0;0.03333334;1;Moved;499.0352;84.34229;1;0.03333334;1;Moved;137.484;84.45885;GS_ISLAND;;;;;;
FaceUp;0.01953125;-0.1953125;-0.8984375;2;0;0.03333334;1;Ended;506.7834;87.92111;1;0.03333334;1;Ended;121.0875;92.52083;GS_ISLAND;;;;;;
FaceUp;-0.00390625;-0.2070312;-0.9023438;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.1796875;-0.2871094;-1.013672;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.203125;-0.3222656;-0.8300781;1;0;0.03333334;1;Stationary;292.9224;91.75299;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.08789062;-0.2382812;-0.9570312;1;0;0.03333334;1;Moved;350.8516;117.4622;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.1054687;-0.2265625;-0.9121094;1;0;0.03333334;1;Moved;432.5687;164.6328;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.08007812;-0.2207031;-0.9433593;1;0;0.03333334;1;Moved;521.7692;210.4536;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.05664063;-0.2636718;-0.8964844;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.09765624;-0.2441406;-0.9374999;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.09374999;-0.2539063;-0.9550781;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.06835937;-0.2519531;-0.9570312;1;0;0.03333334;1;Moved;497.7971;194.2074;;;;;;;GS_ISLAND;;;;;;
